date,idea,source,theme,reader_pain,post_type,priority,status,notes
2026-06-24,昨日出ていた台に座って溶かす心理を言語化,observation,判断ミス,昨日出ていた台に座ってしまう,問題提起型,high,投稿済,Lane A 共感狙い / week01-p1に反映
2026-06-24,前半だけ回った記憶で続行して後悔した話,confession,続行判断,前半回った記憶を引きずる,失敗告白型,high,投稿済,開発者の実体験で人間味 / week03-p3に反映
2026-06-24,投資したからヤメられないサンクコストあるある,observation,撤退判断,投資したからヤメられない,あるある型,high,投稿済,箇条書きで自分事化 / week01-p2に反映
2026-06-24,勝った日の記憶だけ残るのが一番危ない,observation,記憶バイアス,勝った日の記憶だけ残る,問題提起型,high,投稿済,1行目フック強め / week02-p1に反映
2026-06-24,記録が面倒で続かない問題への設計思想,product,入力設計,記録が面倒で続かない,UIスクショ型,mid,未使用,入力導線スクショ添付
2026-06-24,釘を見ても判断がブレる人向けの振り返り視点,observation,台選び,釘を見ても判断がブレる,問題提起型,mid,未使用,Lane A
2026-06-24,回ってる気がするを数字で見直す検証メモ,product,回転率,感覚で続行して後悔する,検証メモ型,mid,投稿済,数字提示で信頼 / week02-p4に反映
2026-06-24,自分で作った記録アプリで記録をサボった話,confession,継続設計,記録が面倒で続かない,失敗告白型,high,投稿済,Lane C 信頼形成 / week01-p3に反映
2026-06-24,負けた理由を感情で片付ける癖の指摘,observation,振り返り,負けた理由を感情で片付ける,問題提起型,mid,未使用,説教臭に注意
2026-06-24,店舗傾向を覚えているつもりで外す現象,observation,台選び,店舗傾向を覚えているつもりで外す,あるある型,mid,投稿済,会話化狙い / week02-p2に反映
2026-06-24,撤退ラインを決めずに打ち始める怖さ,observation,撤退判断,感覚で続行して後悔する,問題提起型,mid,投稿済,Lane A / week04-p1に反映
2026-06-24,β版を少人数で募集する告知の下書き,product,β募集,記録で見直したい人を集めたい,β募集型,high,投稿済,Phase0は控えめに10% / week01-p5に反映
2026-06-24,記録画面のUIを見せて入力の軽さを訴求,product,UI,記録が面倒で続かない,UIスクショ型,mid,投稿済,記録画面スクショ / week04-p4に反映
2026-06-24,判断ログ画面で続行撤退を後から見直す例,product,UI,続行撤退の判断を見直したい,UIスクショ型,mid,投稿済,判断ログ画面スクショ / week02-p5に反映
2026-06-24,便利機能より続く設計を優先した理由,confession,プロダクト思想,多機能で逆に使いづらい,失敗告白型,mid,投稿済,Lane C / week02-p3に反映
2026-06-24,感覚の印象と残した数字がズレる瞬間,observation,記憶バイアス,記憶と記録が合わない,検証メモ型,mid,未使用,Hook Bank流用
2026-06-24,何回転打てば判断材料になるかの実用視点,product,回転率,少ない情報で判断を急ぐ,検証メモ型,mid,投稿済,内部閾値は出さない / week04-p5に反映
2026-06-24,月別サマリーで反省を感情論にしない話,product,UI,反省が毎回感情論になる,UIスクショ型,low,未使用,月別サマリースクショ
2026-06-24,楽な判断を選ばせない入力導線の話,product,UI,入力が面倒で楽な判断を選ぶ,UIスクショ型,mid,投稿済,Lane D 王道 / week01-p4に反映
2026-06-24,パチンコの反省を記録ベースに変える提案,observation,振り返り,反省が毎回感情論になる,問題提起型,mid,未使用,Lane A しめ
2026-07-12,意味不明な当たりパターンに一喜一憂して当日の判断を誤った話,confession,記憶バイアス,当たり方で気分が変わり判断がブレる,失敗告白型,mid,未使用,角度:記憶のズレ
2026-07-12,同じ店の同じ島でも日によって印象が真逆になる,observation,店選び,店舗傾向を覚えているつもりで外す,あるある型,mid,未使用,角度:店・台選び
2026-07-12,入力の手間を減らすために結局何を削るかで悩んだ話,product,入力設計,記録が面倒で続かない,失敗告白型,mid,未使用,角度:入力の面倒さ(開発側の悩み視点)
2026-07-12,続ける理由をメモしておくと、あとで自分の言い訳がバレる,observation,継続設計,続ける理由が後から変わる,問題提起型,mid,未使用,角度:続行理由の変化
2026-07-12,勝った台の記憶ほど都合よく編集されている,observation,記憶バイアス,勝った日の記憶だけ残る,問題提起型,mid,未使用,角度:記憶のズレ(別表現)
2026-07-12,撤退した後にその台が化けてるのを見る辛さ,observation,撤退判断,撤退後の後悔,あるある型,mid,未使用,角度:続行理由の変化
2026-07-12,判断ログを見返すと、当時は正しいと思ってた理由が急に頼りなく見える,product,振り返り,感覚だけで判断していたと後から気づく,検証メモ型,mid,未使用,角度:UI思想
2026-07-12,機種を変えた理由が実は「隣がうるさかっただけ」だった,confession,台選び,台選びの理由があいまい,失敗告白型,low,未使用,角度:店・台選び
2026-07-12,記録を見返す時間を作らないと、記録すること自体が目的化する,product,継続設計,記録が続かない/形骸化する,問題提起型,mid,未使用,角度:UI思想
